City,Year,Population,Violent Crime,Property Crime,Total Crime,"Total Crime Per Capita [10,000]","Violent Crime Per Capita [10,000]","Property Crime Per Capita [10,000]"
Sugar Land,2014,85055.0,99.0,1400.0,1499.0,176.23890423843395,11.639527364646407,164.59937687378755
Texas City,2014,46273.0,150.0,1652.0,1802.0,389.4279601495473,32.41631188814211,357.0116482614051
Baytown,2015,77145.0,233.0,2876.0,3109.0,403.00732387063323,30.202864735238837,372.8044591353944
Friendswood,2015,38851.0,28.0,355.0,383.0,98.5817610872307,7.207021698283184,91.37473938894752
Galveston,2015,50065.0,224.0,1818.0,2042.0,407.8697692999101,44.74183561370219,363.1279336862079
Houston,2015,2275221.0,21994.0,100053.0,122047.0,536.4182204717696,96.66753251662146,439.75068795514807
La Porte,2015,35336.0,79.0,560.0,639.0,180.8354086484039,22.35680326013131,158.4786053882726
League City,2015,97172.0,88.0,1767.0,1855.0,190.89861276911046,9.056106697402544,181.84250607170787
Missouri City,2015,72879.0,148.0,1268.0,1416.0,194.29465278063637,20.307633200236005,173.98701958040039
Pasadena,2015,154986.0,632.0,4273.0,4905.0,316.48019821145135,40.777876711444904,275.70232150000646
Sugar Land,2015,88810.0,83.0,1470.0,1553.0,174.86769507938294,9.345794392523365,165.52190068685957
Texas City,2015,46976.0,186.0,1458.0,1644.0,349.9659400544959,39.594686648501366,310.37125340599454
Baytown,2016,77224.0,302.0,2858.0,3160.0,409.19921267999587,39.10701336372112,370.09219931627473
Friendswood,2016,39402.0,27.0,302.0,329.0,83.49829957870159,6.8524440383736875,76.6458555403279
Galveston,2016,50667.0,244.0,1771.0,2015.0,397.69475200821046,48.15757791067164,349.53717409753887
Houston,2016,2334348.0,23960.0,100856.0,124816.0,534.693199128836,102.6410800788914,432.05211904994457
La Porte,2016,35410.0,73.0,602.0,675.0,190.62411748093757,20.615645297938435,170.00847218299916
League City,2016,101436.0,82.0,1937.0,2019.0,199.04176032177926,8.08391498087464,190.9578453409046
Missouri City,2016,75607.0,144.0,1263.0,1407.0,186.09388019627812,19.045855542476225,167.04802465380192
Pasadena,2016,154648.0,691.0,4008.0,4699.0,303.85132688427916,44.68211680720087,259.1692100770783
Sugar Land,2016,90088.0,77.0,1460.0,1537.0,170.61095817422964,8.547198295000443,162.0637598792292
Texas City,2016,48095.0,249.0,1759.0,2008.0,417.5070173614721,51.772533527393705,365.7344838340784
Baytown,2017,76704.0,288.0,2678.0,2966.0,386.68126825198163,37.546933667083856,349.13433458489783
Friendswood,2017,39990.0,36.0,321.0,357.0,89.27231807951988,9.002250562640661,80.27006751687922
Galveston,2017,51021.0,257.0,1790.0,2047.0,401.20734599478646,50.37141569157797,350.83593030320844
Houston,2017,2338235.0,25609.0,96532.0,122141.0,522.3640908634077,109.52278107204793,412.84130979135966
La Porte,2017,35293.0,103.0,527.0,630.0,178.50565267900149,29.184257501487547,149.32139517751395
League City,2017,105351.0,97.0,1718.0,1815.0,172.28123131246974,9.207316494385436,163.07391481808432
Missouri City,2017,75863.0,149.0,969.0,1118.0,147.370918629635,19.640668046346704,127.7302505832883
Pasadena,2017,154000.0,711.0,3773.0,4484.0,291.16883116883116,46.16883116883116,245.0
Sugar Land,2017,89790.0,71.0,1289.0,1360.0,151.46452834391357,7.907339347366076,143.5571889965475
Texas City,2017,48774.0,237.0,1704.0,1941.0,397.9579284044778,48.59146266453438,349.3664657399434
Baytown,2018,76704.0,288.0,2678.0,2966.0,386.68126825198163,37.546933667083856,349.13433458489783
Friendswood,2018,39990.0,36.0,321.0,357.0,89.27231807951988,9.002250562640661,80.27006751687922
Galveston,2018,51021.0,257.0,1790.0,2047.0,401.20734599478646,50.37141569157797,350.83593030320844
Houston,2018,2338235.0,25609.0,96532.0,122141.0,522.3640908634077,109.52278107204793,412.84130979135966
La Porte,2018,35293.0,103.0,527.0,630.0,178.50565267900149,29.184257501487547,149.32139517751395
League City,2018,105351.0,97.0,1718.0,1815.0,172.28123131246974,9.207316494385436,163.07391481808432
Missouri City,2018,75863.0,149.0,969.0,1118.0,147.370918629635,19.640668046346704,127.7302505832883
Pasadena,2018,154000.0,711.0,3773.0,4484.0,291.16883116883116,46.16883116883116,245.0
Sugar Land,2018,89790.0,71.0,1289.0,1360.0,151.46452834391357,7.907339347366076,143.5571889965475
Texas City,2018,48774.0,237.0,1704.0,1941.0,397.9579284044778,48.59146266453438,349.3664657399434
